Produto;Descricao;Unidade;Lote;Localizacao;Fisico;Sistema;Diferenca;Custo STD;Valor Total
ZR00086197;CAMISETA POLO TAM XG;pcs;;Z-D2G1;               0,000;               8,000;         8,0000;         2,3000;        18,4000
ZR00086198;CALCA AZUL S/ BOLSAO N38;pcs;;Z-C2D1;               0,000;              10,000;        10,0000;         2,3000;        23,0000
ZR00086198;CALCA AZUL S/ BOLSAO N38;pcs;;Z-C2I1;               0,000;              16,000;        16,0000;         2,3000;        36,8000
ZR00086199;CALCA AZUL S/ BOLSAO N40;pcs;;Z-C2I1;               0,000;              20,000;        20,0000;         2,3000;        46,0000
ZR00086201;CALCA AZUL S/ BOLSAO N44;pcs;;Z-C2H1;               0,000;               3,000;         3,0000;         2,3000;         6,9000
ZR00086202;CALCA AZUL S/ BOLSAO N46;pcs;;Z-C2F1;               0,000;              47,000;        47,0000;         2,3000;       108,1000
ZR00086203;CALCA AZUL S/ BOLSAO N48;pcs;;Z-C2E1;               0,000;              11,000;        11,0000;         2,3000;        25,3000
ZR00086204;CALCA AZUL S/ BOLSAO N50;pcs;;Z-C2D1;               0,000;              30,000;        30,0000;         2,3000;        69,0000
ZR00086205;CALCA AZUL S/ BOLSAO N52;pcs;;Z-C2C1;               0,000;              44,000;        44,0000;         2,3000;       101,2000
ZR00086209;CAMISA M/L AZUL N03;pcs;;Z-C4D1;               0,000;              12,000;        12,0000;         2,3000;        27,6000
ZR00086211;CAMISA M/L AZUL N05;pcs;;Z-C4G1;               0,000;              37,000;        37,0000;         2,3000;        85,1000
ZR00086212;CAMISA M/L AZUL N06;pcs;;Z-C4H1;               0,000;              34,000;        34,0000;         2,3000;        78,2000
ZR00086212;CAMISA M/L AZUL N06;pcs;;Z-C4J1;               0,000;              30,000;        30,0000;         2,3000;        69,0000
ZR00086213;CAPA PVC P/ CHUVA CA 6428;pcs;;Z-C1A1;               0,000;               3,000;         3,0000;         2,3000;         6,9000
ZR00086216;DETERGENTE LIQUIDO;Ltr;;Z-A2B1;               0,000;              10,000;        10,0000;         2,3000;        23,0000
ZR00086217;ALCOOL ETILICO HIDRAT 46° INPM;Ltr;;Z-H;               0,000;               2,000;         2,0000;         2,3000;         4,6000
ZR00086219;RODO DE MADEIRA;pcs;;Z-H;               0,000;              12,000;        12,0000;         2,3000;        27,6000
ZR00086220;VASSOURA DE PIACAVA N 4;pcs;;Z-H;               0,000;               7,000;         7,0000;         2,3000;        16,1000
ZR00086224;SACO DE LIXO 20 LITROS PRETO;pcs;;Z-A2E1;               0,000;             400,000;       400,0000;         2,3000;       920,0000
ZR00086225;SACO DE LIXO 100 LITROS PRETO;pcs;;Z-A4D1;               0,000;             500,000;       500,0000;         2,3000;     1.150,0000
ZR00086226;SACO DE LIXO 20 LITROS AZUL;pcs;;Z-A4C1;               0,000;             300,000;       300,0000;         2,3000;       690,0000
ZR00086227;SACO DE LIXO 20 L VERMELHO;pcs;;Z-A4C1;               0,000;             200,000;       200,0000;         2,3000;       460,0000
ZR00086229;COPO DESCARTAVEL PARA AGUA PCT;Pk;;Z-A4A1;               0,000;             164,000;       164,0000;         2,3000;       377,2000
ZR00086230;PAPEL TOALHA;Pk;;Z-H;               0,000;             108,000;       108,0000;         2,3000;       248,4000
ZR00086234;PAPEL HIGIENICO INTERFOLHADO;pcs;;Z-H;               0,000;             144,000;       144,0000;         2,3000;       331,2000
ZR00086236;WIPERS FLANELA;pcs;;Z-H;               0,000;             790,000;       790,0000;         2,3000;     1.817,0000
ZR00086237;PAPEL TOALHA ROLO;pcs;;Z-H;               0,000;              36,000;        36,0000;         2,3000;        82,8000
ZR00086238;SACO DE LIXO 60 L AZUL;pcs;;Z-A2C1;               0,000;             300,000;       300,0000;         2,3000;       690,0000
ZR00086238;SACO DE LIXO 60 L AZUL;pcs;;Z-A4C1;               0,000;             100,000;       100,0000;         2,3000;       230,0000
ZR00086239;SACO DE LIXO 60 L PRETO;pcs;;Z-A4D1;               0,000;             500,000;       500,0000;         2,3000;     1.150,0000
ZR00086240;SACO DE LIXO 60 L VERMELHO;pcs;;Z-A2C1;               0,000;             400,000;       400,0000;         2,3000;       920,0000
ZR00850178;"DISCO DE CORTE BNA 12 - 4""";pcs;;Z-B7C1;               0,000;              52,000;        52,0000;         2,3000;       119,6000
ZR00879130;CADINHO CERAMICO EDG;pcs;;Z-A4B1;               0,000;             100,000;       100,0000;         2,3000;       230,0000
ZR00879130;CADINHO CERAMICO EDG;pcs;;Z-A5A1;               0,000;             100,000;       100,0000;         2,3000;       230,0000
