121;NQ001448AAF60;TUBO RETO REF.PECA 8200138914;8200138914;3,082;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;3082
121;NQ001449AAF60;TUBO RETO REF. PECA 46290EK000;46290EK000;0,453;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;453
121;NQ001450AAF60;TUBO RETO REF. PECA 462406S300;462406S300;2,336;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;2336
121;NQ001451AAF60;TUBO RETO REF.PECA 7700438153;7700438153;0,769;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;769
121;NQ001452AAF60;TUBO RETO REF. PECA 7700438166;7700438166;3,011;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;3011
121;NQ001453AAF60;TUBO RETO REF. PECA 7700417811;7700417811;1,74;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;1740
121;NQ001454AAF60;TUBO RETO REF.PECA 8200138915;8200138915;2,236;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;2236
121;NQ001455AAF60;TUBO RETO REF.PECA 1J1611740.A;1J1611740A;0,364;TUBO ZNPA 4,76 X 0,71 MM FABRICACAO NACIONAL;TUBO ZNPA 4,76 X 0,71 MM FAB;364
121;NQ001456AAF60;TUBO RETO REF. PECA 1J0614723K;1J0614723K;0,482;TUBO ZNPA 4,76 X 0,71 MM FABRICACAO NACIONAL;TUBO ZNPA 4,76 X 0,71 MM FAB;482
121;NQ001457AAF60;TUBO RETO REF. PECA 463106S300;463106S300;1,226;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;1226
121;NQ001458AAF60;TUBO RETO REF.PECA 462822BA00;462822BA00;2,077;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;2077
121;NQ001459AAF60;TUBO RETO REF.PECA 8200138916;8200138916;2,733;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;2733
121;NQ001460AAF60;TUBO RETO REF. PECA 462406S310;462406S310;2,389;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;2389
121;NQ001461AAF60;TUBO RETO REF. PECA 7700438167;7700438167;3,019;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;3019
121;NQ001462AAF60;TUBO RETO REF. PECA 7700417812;7700417812;1,784;TUBO BWTRP 4,76 X 0,711 MM (P.V.F. TRIVALENTE);TUBO BWTRP 4,76 X 0,711 MM (;1784
121;NQ001463AAF60;TUBO RETO REF.PECA 1J0611741C;1J0611741C;2,343;TUBO ZNPA 4,76 X 0,71 MM FABRICACAO NACIONAL;TUBO ZNPA 4,76 X 0,71 MM FAB;2343
